id	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementUnit	measurementUnitID
HAEDAT:CA-22:CA-92-002	HAEDAT:CA-22:CA-92-002:causative:5144	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,400	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-92-003	HAEDAT:CA-22:CA-92-003:causative:8718	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	7,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-97-001	HAEDAT:CA-22:CA-97-001:causative:5182	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	151,776	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-001	HAEDAT:NL-01:NL-89-001:causative:8303	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20-800	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-002	HAEDAT:NL-01:NL-89-002:causative:8304	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100 - 500	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-003	HAEDAT:NL-01:NL-89-003:causative:8305	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	30-300	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-02:NL-89-004	HAEDAT:NL-02:NL-89-004:causative:8306	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	30 - 585	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-005	HAEDAT:NL-01:NL-89-005:causative:8302	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	40 - 600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-86-001	HAEDAT:NL-01:NL-86-001:causative:6139	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-02:NL-89-006	HAEDAT:NL-02:NL-89-006:causative:8301	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	200-15,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-91-001	HAEDAT:CA-22:CA-91-001:causative:5141	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	78,340	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-007	HAEDAT:NL-01:NL-89-007:causative:6153	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	70,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-008	HAEDAT:NL-01:NL-89-008:causative:6150	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10 - 180	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-008	HAEDAT:NL-01:NL-89-008:causative:6149	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1100	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-008	HAEDAT:NL-01:NL-89-008:causative:6148	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-008	HAEDAT:NL-01:NL-89-008:causative:6147	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10 - 200	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-009	HAEDAT:NL-01:NL-89-009:causative:8309	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	150-1,900	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-009	HAEDAT:NL-01:NL-89-009:causative:8308	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100-600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-89-009	HAEDAT:NL-01:NL-89-009:causative:8307	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	600 - 6,50	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-90-002	HAEDAT:NL-01:NL-90-002:causative:6155	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	> 100,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-91-004	HAEDAT:NL-01:NL-91-004:causative:6162	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	5,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-91-004	HAEDAT:NL-01:NL-91-004:causative:6161	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	4,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-07:FR-92-014	HAEDAT:FR-07:FR-92-014:causative:11771	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-07:FR-92-016	HAEDAT:FR-07:FR-92-016:causative:36	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
