id	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	occurrenceRemarks	organismQuantity	organismQuantityType	occurrenceStatus	eventID	scientificNameID	scientificName
HAEDAT:CA-24:CA-92-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-92-005:causative:5112		30,000	cells per litre	present	HAEDAT:CA-24:CA-92-005		Pseudo-nitzschia pungens f. multiseries
HAEDAT:CA-13:CA-92-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-92-006:causative:5111				present	HAEDAT:CA-13:CA-92-006		Dinophysis acuminata
HAEDAT:CA-13:CA-92-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-92-006:causative:5110				present	HAEDAT:CA-13:CA-92-006		Dinophysis norvegica
HAEDAT:CA-13:CA-92-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-92-006:causative:5109				present	HAEDAT:CA-13:CA-92-006		Dinophysis acuta
HAEDAT:CA-11:CA-92-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-11:CA-92-007:causative:5108				present	HAEDAT:CA-11:CA-92-007		Dinophysis acuminata
HAEDAT:CA-11:CA-92-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-11:CA-92-007:causative:5107				present	HAEDAT:CA-11:CA-92-007		Dinophysis norvegica
HAEDAT:CA-11:CA-92-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-11:CA-92-007:causative:5106				present	HAEDAT:CA-11:CA-92-007		Dinophysis acuta
HAEDAT:CA-38:CA-87-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-87-002:causative:5045				present	HAEDAT:CA-38:CA-87-002		Protogonyaulax catenella
HAEDAT:CA-31:CA-87-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-31:CA-87-003:causative:5040				present	HAEDAT:CA-31:CA-87-003		Gonyaulax excavata
HAEDAT:CA-22:CA-90-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-90-001:causative:9344		1,500	cells per litre	present	HAEDAT:CA-22:CA-90-001		Nitzschia pseudodelicatissima
HAEDAT:CA-24:CA-90-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-90-002:causative:5065		22,000	cells per litre	present	HAEDAT:CA-24:CA-90-002		Dinophysis norvegica
